train/loss/total,train/acc/total,epoch,step
5.79126501083374,0.1389508992433548,4,49
4.982835292816162,0.172991082072258,9,99
4.536751747131348,0.192522332072258,14,149
4.173473358154297,0.2343750149011612,19,199
3.8353331089019775,0.2488839328289032,24,249
3.540477991104126,0.295200914144516,29,299
3.230962038040161,0.3208705484867096,34,349
2.9448351860046387,0.3722098469734192,39,399
2.6010992527008057,0.4481027126312256,44,449
2.386766195297241,0.4771205484867096,49,499
2.040015935897827,0.5758928656578064,54,549
1.878244161605835,0.6116071939468384,59,599
1.7552191019058228,0.6300223469734192,64,649
1.4694186449050903,0.707589328289032,69,699
1.2689841985702515,0.7628348469734192,74,749
1.1001182794570923,0.797433078289032,79,799
1.05380117893219,0.8080357313156128,84,849
0.9042836427688599,0.8381696939468384,89,899
0.7966654896736145,0.859933078289032,94,949
0.6714223027229309,0.8822544813156128,99,999
